id	name	chromosome
658	KIR3DL3	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
659	NULL	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
660	KIR2DL4	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
661	KIR3DL1	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
662	KIR2DL4	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
663	KIR2DL4	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
664	KIR2DS4	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
665	KIR2DS4	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
666	PCMTD2	CHR_HSCHR20_1_CTG3
667	NCR1	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
668	KIR3DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
669	LILRP2	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
670	KIR3DP1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
671	KIR2DS2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
672	KIR2DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
673	KIR2DL4	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
674	KIR2DL1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
675	KIR2DL4	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
676	KIR3DP1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
677	FCAR	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
678	KIR2DL1	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
679	KIR3DL1	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
680	OPRL1	CHR_HSCHR20_1_CTG3
681	LILRP1	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
682	KIR2DL2	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1
683	KIR2DP1	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
684	NPBWR2	CHR_HSCHR20_1_CTG3
685	NULL	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
686	KIR2DL4	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
687	NULL	CHR_HSCHR20_1_CTG3
688	MYT1	CHR_HSCHR20_1_CTG3
689	KIR3DL1	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
690	KIR3DL3	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
691	LILRP2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
692	NULL	CHR_HSCHR1_1_CTG31
693	NULL	CHR_HSCHR1_1_CTG31
694	NULL	CHR_HSCHR1_1_CTG31
695	KIR2DL2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
696	GEMIN2P1	CHR_HSCHR1_1_CTG31
697	GATAD2B	CHR_HSCHR1_1_CTG31
698	KIR2DL1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
699	KIR2DL1	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
700	KIR2DS4	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
701	KIR3DL2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
702	KRT20	CHR_HSCHR17_4_CTG4
703	KIR2DS4	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
704	KIR3DL3	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
705	KIR3DL1	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
706	KIR3DL3	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
707	KRTAP3-1	CHR_HSCHR17_4_CTG4
708	FCAR	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
709	KIR3DP1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
710	KRTAP3-2	CHR_HSCHR17_4_CTG4
711	KIR3DL1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
712	KRTAP4-9	CHR_HSCHR17_4_CTG4
713	NULL	CHR_HSCHR1_1_CTG31
714	SLC27A3	CHR_HSCHR1_1_CTG31
715	DNAH10	CHR_HSCHR12_6_CTG2_1
716	KRTAP2-4	CHR_HSCHR17_4_CTG4
717	KIR2DS4	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
718	NULL	CHR_HSCHR17_4_CTG4
719	KIR3DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
720	KIR3DP1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
721	LILRP2	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
722	KRT23	CHR_HSCHR17_4_CTG4
723	KIR3DL1	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
724	KIR3DP1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
725	LILRP1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
726	KIR3DL1	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1
727	KIR2DS4	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
728	KIR2DS5	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
729	FCAR	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
730	KIR2DS4	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
731	KIR2DP1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
732	KIR2DL1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
733	KIR3DL3	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
734	KIR2DS2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
735	KIR3DL1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
736	KIR2DL5B	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
737	KIR2DL4	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
738	LILRP2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
739	KIR3DL2	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
740	KIR3DS1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
741	LILRP2	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
742	KIR2DS2	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
743	KIR2DS1	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
744	KIR2DS3	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
745	NULL	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
746	KIR3DL3	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
747	KIR2DL1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
748	KIR3DL2	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
749	LILRP1	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
750	KIR2DS2	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
751	NULL	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
752	KIR2DL2	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
753	KIR2DL4	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
754	NULL	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
755	KIR2DP1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
756	KIR3DL2	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
757	KIR3DP1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
758	KIR3DL2	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
759	KIR3DL1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
760	KIR2DS4	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
761	KIR2DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
762	NULL	CHR_HSCHR20_1_CTG3
763	KIR2DL1	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
764	NULL	CHR_HSCHR1_1_CTG31
765	NULL	CHR_HSCHR1_1_CTG31
766	Y_RNA	CHR_HSCHR1_1_CTG31
767	Y_RNA	CHR_HSCHR1_1_CTG31
768	CCDC92	CHR_HSCHR12_6_CTG2_1
769	Metazoa_SRP	CHR_HSCHR1_1_CTG31
770	Metazoa_SRP	CHR_HSCHR1_1_CTG31
771	KIR3DP1	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
772	LILRP1	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
773	KIR2DS3	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
774	KIR3DP1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
775	LILRP2	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
776	KIR2DL5A	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
777	KIR2DS3	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
778	KIR2DL4	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
779	KIR2DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
780	KIR3DL1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
781	KRT40	CHR_HSCHR17_4_CTG4
782	KIR3DP1	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
783	KIR2DL2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
784	KIR3DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
785	LILRP1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
786	KIR2DL3	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
787	LILRP2	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
788	LILRP1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
789	LILRP1	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
790	NULL	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
791	LILRP1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
792	KIR2DL5A	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
793	KIR2DL2	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
794	NULL	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
795	KIR2DL3	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
796	KIR2DL4	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
797	KIR3DL2	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
798	KIR2DL4	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
799	KIR3DS1	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
800	KRTAP1-1	CHR_HSCHR17_4_CTG4
801	NULL	CHR_HSCHR17_4_CTG4
802	KIR2DL5B	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
803	KIR2DL4	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
804	KRTAP4-11	CHR_HSCHR17_4_CTG4
805	NULL	CHR_HSCHR17_4_CTG4
806	KRTAP2-5P	CHR_HSCHR17_4_CTG4
807	KRTAP1-3	CHR_HSCHR17_4_CTG4
808	KRTAP4-16	CHR_HSCHR17_4_CTG4
809	KIR2DL3	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
810	KRT12	CHR_HSCHR17_4_CTG4
811	NULL	CHR_HSCHR12_6_CTG2_1
812	KIR2DS3	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
813	KIR2DL3	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
814	KRTAP1-5	CHR_HSCHR17_4_CTG4
815	KRT39	CHR_HSCHR17_4_CTG4
816	LILRP2	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
817	KIR3DS1	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
818	KIR3DP1	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
819	LILRP2	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
820	KIR3DL3	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
821	KIR2DS5	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
822	NCR1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
823	KIR3DL1	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
824	KIR2DL5B	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
825	KIR3DL2	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
826	KIR3DL3	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
827	KRTAP3-4P	CHR_HSCHR17_4_CTG4
828	KRTAP2-1	CHR_HSCHR17_4_CTG4
829	KIR2DL3	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
830	KIR3DL3	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
831	KRTAP3-3	CHR_HSCHR17_4_CTG4
832	KIR2DL1	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
833	KIR3DL2	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
834	KRTAP2-3	CHR_HSCHR17_4_CTG4
835	KRTAP4-12	CHR_HSCHR17_4_CTG4
836	KRTAP1-4	CHR_HSCHR17_4_CTG4
837	NULL	CHR_HSCHR17_4_CTG4
838	KRTAP4-8	CHR_HSCHR17_4_CTG4
839	KIR3DL3	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
840	KIR2DS1	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
841	KIR2DL5A	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
842	NULL	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
843	KIR2DS2	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
844	LILRP2	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
845	LILRP2	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
846	KIR3DL3	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
847	LINC01839	CHR_HSCHR3_5_CTG2_1
848	LINC02054	CHR_HSCHR3_5_CTG2_1
849	KIR2DS2	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
850	KIR3DS1	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
851	KIR2DL3	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
852	KIR2DL4	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
853	KIR3DL2	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
854	KIR3DL2	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
855	KIR2DS2	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1
856	KIR3DL2	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1
857	KIR3DL1	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
858	KIR3DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
859	LINC00254	CHR_HSCHR16_4_CTG1
860	KIR2DS4	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
861	HS3ST6	CHR_HSCHR16_4_CTG1
862	LILRP2	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
863	KIR2DP1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
864	KIR2DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
865	MEIOB	CHR_HSCHR16_4_CTG1
866	NULL	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
867	LILRP1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
868	KIR3DL1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
869	KIR3DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
870	LINC02124	CHR_HSCHR16_4_CTG1
871	KIR3DL3	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
872	U6	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
873	NULL	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
874	KIR2DL5B	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
875	KIR2DS2	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
876	KIR3DL2	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
877	KIR2DL2	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
878	KIR3DL3	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
879	KIR2DP1	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
880	KIR2DL3	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
881	KIR2DS1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
882	FCAR	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
883	KIR3DL3	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
884	KIR3DL2	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
885	NULL	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
886	KIR2DL3	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
887	LILRP2	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
888	KIR2DS5	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
889	NCR1	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
890	NULL	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
891	U6	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
892	NULL	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
893	KIR2DS1	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
894	NULL	CHR_HSCHR19_1_CTG2
895	FCAR	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
896	KIR3DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
897	KRT18P40	CHR_HSCHR19_1_CTG2
898	NULL	CHR_HSCHR19_1_CTG2
899	KIR2DP1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
900	KIR2DL1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
901	ZNF430	CHR_HSCHR19_1_CTG2
902	NULL	CHR_HSCHR18_2_CTG1_1
903	KIR2DL3	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
904	KIR2DL5A	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
905	KIR2DL1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
906	SNTG2	CHR_HSCHR2_3_CTG1
907	NULL	CHR_HSCHR19_2_CTG2
908	ZNF43	CHR_HSCHR19_2_CTG2
909	KIR2DL4	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
910	KIR2DP1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
911	NULL	CHR_HSCHR19_2_CTG2
912	KIR2DS4	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
913	ZNF100	CHR_HSCHR19_2_CTG2
914	IMPDH1P5	CHR_HSCHR10_1_CTG4
915	ADI1	CHR_HSCHR2_1_CTG1
916	DLG5	CHR_HSCHR10_1_CTG4
917	NULL	CHR_HSCHR1_4_CTG31
918	KIR2DL1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
919	TRAPPC12	CHR_HSCHR2_1_CTG1
920	NCR1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
921	NULL	CHR_HSCHR1_4_CTG31
922	NULL	CHR_HSCHR1_4_CTG31
923	PPIAL4F	CHR_HSCHR1_4_CTG31
924	NULL	CHR_HSCHR1_4_CTG31
925	KIR3DL3	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
926	NULL	CHR_HSCHR19_1_CTG2
927	CCNYL6	CHR_HSCHR19_2_CTG2
928	U6	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
929	NULL	CHR_HSCHR19_1_CTG2
930	U1	CHR_HSCHR1_4_CTG31
931	NULL	CHR_HSCHR19_2_CTG2
932	RNVU1-26	CHR_HSCHR1_4_CTG31
933	RNVU1-2A	CHR_HSCHR1_4_CTG31
934	BRI3BPP1	CHR_HSCHR19_2_CTG2
935	ZNF85	CHR_HSCHR19_1_CTG2
936	VN1R84P	CHR_HSCHR19_2_CTG2
937	MTDHP4	CHR_HSCHR19_2_CTG2
938	NULL	CHR_HSCHR2_1_CTG1
939	NULL	CHR_HSCHR2_1_CTG1
940	KIR3DS1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
941	KIR3DP1	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
942	KIR2DL4	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
943	KIR2DL4	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1
944	KIR2DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
945	PIWIL1	CHR_HSCHR12_5_CTG2_1
946	FCAR	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
947	NULL	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
948	U6	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
949	KIR2DL4	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
950	NULL	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
951	LILRP1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
952	KIR2DP1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
953	KIR2DS4	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
954	RNU6-222P	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
955	SNTG2	CHR_HSCHR2_4_CTG1
956	U6	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
957	LILRP2	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
958	OR9G4	CHR_HG151_NOVEL_TEST
959	OR5G3	CHR_HG151_NOVEL_TEST
960	OR9G3P	CHR_HG151_NOVEL_TEST
961	OR5G1P	CHR_HG151_NOVEL_TEST
962	NULL	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
963	U6	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
964	OR5G4P	CHR_HG151_NOVEL_TEST
965	NULL	CHR_HSCHR19_1_CTG2
966	OR5G5P	CHR_HG151_NOVEL_TEST
967	BNIP3P24	CHR_HSCHR19_1_CTG2
968	NULL	CHR_HSCHR19_1_CTG2
969	ZNF66	CHR_HSCHR19_1_CTG2
970	OR9G2P	CHR_HG151_NOVEL_TEST
971	NULL	GL000213.1
972	OR9G1	CHR_HG151_NOVEL_TEST
973	NULL	CHR_HG151_NOVEL_TEST
974	OR9G9	CHR_HG151_NOVEL_TEST
975	LINC02735	CHR_HG151_NOVEL_TEST
976	NULL	GL000220.1
977	RNA5-8SN5	GL000220.1
978	5_8S_rRNA	GL000220.1
979	LILRP1	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
980	KIR2DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
981	NULL	GL000220.1
982	KIR3DL3	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
983	KIR3DL2	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
984	TPO	CHR_HSCHR2_4_CTG1
985	KRTAP9-9	CHR_HSCHR17_5_CTG4
986	KRTAP9-2	CHR_HSCHR17_5_CTG4
987	NULL	KI270734.1
988	KIR3DP1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
989	KIR2DS4	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
990	KIR3DL2	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
991	U6	KI270744.1
992	NULL	KI270734.1
993	KIR3DL3	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
994	U6	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
995	LILRP2	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1
996	KRTAP9-4	CHR_HSCHR17_5_CTG4
997	KRTAP9-3	CHR_HSCHR17_5_CTG4
998	KCNQ2-AS1	CHR_HSCHR20_1_CTG4
999	KRTAP9-10P	CHR_HSCHR17_5_CTG4
1000	KIR3DL3	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1
1001	KCNQ2	CHR_HSCHR20_1_CTG4
1002	NULL	CHR_HSCHR17_5_CTG4
1003	NULL	CHR_HSCHR17_5_CTG4
1004	KRTAP29-1	CHR_HSCHR17_5_CTG4
1005	U6	GL000213.1
1006	KIR3DL2	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
1007	KRTAP9-2	CHR_HSCHR17_6_CTG4
1008	KRTAP9-10P	CHR_HSCHR17_6_CTG4
